epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,2319.56,1.30248,1.5669,1.4662,0.00707,1.18632,0.52374,0.54032,0.55093,0.37468,0.52841,0.5104,0.51313,0.23205,1.1712,1.46361,1.47432,0.00914,0,0.000946715,0.000946715,0.000946715
102,2342.14,1.40445,1.62937,1.41125,0.00728,1.18017,0.56858,0.53257,0.56237,0.3832,0.58441,0.50959,0.53048,0.23272,1.14474,1.45391,1.42055,0.00896,0,0.000919888,0.000919888,0.000919888
103,2364.72,1.38799,1.56319,1.45108,0.00812,1.15569,0.56021,0.5698,0.56554,0.37807,0.53344,0.5303,0.51993,0.23773,1.15467,1.4335,1.42075,0.00878,0,0.00089329,0.00089329,0.00089329
104,2387.22,1.35742,1.53066,1.34756,0.0074,1.15912,0.54294,0.58204,0.56753,0.38774,0.53286,0.56819,0.54282,0.25226,1.13617,1.41746,1.41675,0.00863,0,0.000866932,0.000866932,0.000866932
105,2409.45,1.29259,1.56936,1.38005,0.00732,1.05943,0.50899,0.5535,0.57149,0.39792,0.50046,0.53983,0.5406,0.25203,1.1206,1.42301,1.42763,0.00845,0,0.000840824,0.000840824,0.000840824
106,2431.92,1.32671,1.58428,1.42748,0.0069,1.13777,0.51488,0.60446,0.56915,0.40291,0.49775,0.58755,0.53602,0.25722,1.13744,1.41193,1.40202,0.0083,0,0.000814976,0.000814976,0.000814976
107,2454.1,1.34782,1.535,1.39092,0.00697,1.20132,0.49388,0.60449,0.56864,0.40482,0.49525,0.5837,0.52548,0.25955,1.12645,1.4329,1.38789,0.00832,0,0.000789397,0.000789397,0.000789397
108,2476.04,1.33154,1.56888,1.34253,0.00686,1.04796,0.50791,0.59674,0.57695,0.40851,0.48458,0.55486,0.52728,0.26684,1.11394,1.46365,1.3794,0.00843,0,0.000764099,0.000764099,0.000764099
109,2498.02,1.28129,1.50473,1.36181,0.00713,1.14376,0.51394,0.58072,0.58333,0.40531,0.52111,0.52568,0.52935,0.25743,1.10053,1.4764,1.38628,0.00837,0,0.00073909,0.00073909,0.00073909
110,2519.97,1.35442,1.57765,1.39026,0.0071,1.23969,0.48985,0.54623,0.5703,0.40028,0.48168,0.52773,0.52239,0.25952,1.11671,1.45088,1.39569,0.00874,0,0.00071438,0.00071438,0.00071438
